time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1632	1.38342	5.19957	0.272162	0.291004	radar	4.37907	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3878	1.46181	5.16969	0.292958	0.301343	lidar	1.00497	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6173	1.56409	5.09208	0.330599	0.344833	radar	3.62722	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8453	1.58127	5.05429	0.311349	0.291209	lidar	1.75642	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1109	1.63335	5.09681	0.305454	0.256855	radar	2.18561	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3926	1.66583	5.12822	0.287552	0.210004	lidar	2.24357	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6237	1.72671	5.0829	0.294324	0.207534	radar	0.907032	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8549	1.78459	5.06191	0.296744	0.196062	lidar	0.390031	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1094	1.87827	5.12172	0.312305	0.199802	radar	1.34697	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3555	1.89354	5.09692	0.285981	0.146244	lidar	0.896003	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6119	1.95105	5.1403	0.280469	0.122845	radar	0.997322	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8098	2.09354	5.11218	0.332654	0.191143	lidar	3.11693	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0755	2.20214	5.20536	0.346607	0.188678	radar	3.4241	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2772	2.3476	5.18058	0.393142	0.243608	lidar	2.25922	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.453	2.51305	5.07988	0.459134	0.336844	radar	10.3346	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.704	2.61755	5.10482	0.466356	0.322159	lidar	0.920368	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9223	2.73754	5.08917	0.487415	0.331944	radar	0.145508	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1508	2.8857	5.11273	0.517259	0.350539	lidar	0.382601	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4025	2.98997	5.1763	0.506747	0.294738	radar	1.7096	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6134	3.0501	5.11384	0.490269	0.25136	lidar	2.44755	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8433	3.20568	5.17588	0.513525	0.257379	radar	3.68051	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.049	3.40048	5.20354	0.563943	0.311091	lidar	0.857105	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2571	3.5757	5.19687	0.604293	0.355004	radar	2.36787	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4708	3.75915	5.22593	0.638323	0.377662	lidar	0.453732	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6828	3.89405	5.2122	0.645155	0.360452	radar	1.08849	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9079	4.02755	5.21081	0.646672	0.336898	lidar	0.334284	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1006	4.19839	5.17137	0.682754	0.381087	radar	1.71781	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
